Training...

EPOCH   1/100: train_acc=0.844, valid_acc=0.811, LR=0.00100000, global_step=0
EPOCH  49/100: train_acc=0.999, valid_acc=0.951, LR=0.00006250, global_step=24192
EPOCH  50/100: train_acc=0.999, valid_acc=0.953, LR=0.00006250, global_step=24696
EPOCH  51/100: train_acc=0.999, valid_acc=0.951, LR=0.00003125, global_step=25200
EPOCH  52/100: train_acc=0.999, valid_acc=0.952, LR=0.00003125, global_step=25704
EPOCH  53/100: train_acc=0.999, valid_acc=0.953, LR=0.00003125, global_step=26208
EPOCH  54/100: train_acc=0.999, valid_acc=0.951, LR=0.00003125, global_step=26712
EPOCH  55/100: train_acc=0.999, valid_acc=0.951, LR=0.00003125, global_step=27216
EPOCH  56/100: train_acc=0.999, valid_acc=0.952, LR=0.00003125, global_step=27720
EPOCH  57/100: train_acc=0.999, valid_acc=0.954, LR=0.00003125, global_step=28224
EPOCH  58/100: train_acc=0.999, valid_acc=0.954, LR=0.00003125, global_step=28728
EPOCH  59/100: train_acc=0.999, valid_acc=0.951, LR=0.00003125, global_step=29232
EPOCH  60/100: train_acc=0.999, valid_acc=0.949, LR=0.00003125, global_step=29736
EPOCH  61/100: train_acc=0.999, valid_acc=0.952, LR=0.00001563, global_step=30240
EPOCH  62/100: train_acc=0.999, valid_acc=0.953, LR=0.00001563, global_step=30744
EPOCH  63/100: train_acc=0.999, valid_acc=0.956, LR=0.00001563, global_step=31248
EPOCH  64/100: train_acc=0.999, valid_acc=0.954, LR=0.00001563, global_step=31752
EPOCH  65/100: train_acc=0.999, valid_acc=0.953, LR=0.00001563, global_step=32256
EPOCH  66/100: train_acc=0.999, valid_acc=0.952, LR=0.00001563, global_step=32760
EPOCH  67/100: train_acc=0.999, valid_acc=0.954, LR=0.00001563, global_step=33264
EPOCH  68/100: train_acc=0.999, valid_acc=0.957, LR=0.00001563, global_step=33768
EPOCH  69/100: train_acc=0.999, valid_acc=0.951, LR=0.00001563, global_step=34272
EPOCH  70/100: train_acc=0.999, valid_acc=0.952, LR=0.00001563, global_step=34776
EPOCH  71/100: train_acc=0.999, valid_acc=0.951, LR=0.00000781, global_step=35280
EPOCH  72/100: train_acc=0.999, valid_acc=0.952, LR=0.00000781, global_step=35784
EPOCH  73/100: train_acc=0.999, valid_acc=0.953, LR=0.00000781, global_step=36288
EPOCH  74/100: train_acc=0.999, valid_acc=0.951, LR=0.00000781, global_step=36792
EPOCH  75/100: train_acc=0.999, valid_acc=0.956, LR=0.00000781, global_step=37296
EPOCH  76/100: train_acc=0.999, valid_acc=0.956, LR=0.00000781, global_step=37800
EPOCH  77/100: train_acc=0.999, valid_acc=0.951, LR=0.00000781, global_step=38304
EPOCH  78/100: train_acc=0.999, valid_acc=0.958, LR=0.00000781, global_step=38808
EPOCH  79/100: train_acc=0.999, valid_acc=0.956, LR=0.00000781, global_step=39312
EPOCH  80/100: train_acc=0.999, valid_acc=0.950, LR=0.00000781, global_step=39816
EPOCH  81/100: train_acc=0.999, valid_acc=0.951, LR=0.00000391, global_step=40320
EPOCH  82/100: train_acc=0.999, valid_acc=0.952, LR=0.00000391, global_step=40824
EPOCH  83/100: train_acc=0.999, valid_acc=0.956, LR=0.00000391, global_step=41328
EPOCH  84/100: train_acc=0.999, valid_acc=0.951, LR=0.00000391, global_step=41832
EPOCH  85/100: train_acc=0.999, valid_acc=0.952, LR=0.00000391, global_step=42336
EPOCH  86/100: train_acc=0.999, valid_acc=0.955, LR=0.00000391, global_step=42840
EPOCH  87/100: train_acc=0.999, valid_acc=0.953, LR=0.00000391, global_step=43344
EPOCH  88/100: train_acc=0.999, valid_acc=0.952, LR=0.00000391, global_step=43848
EPOCH  89/100: train_acc=0.999, valid_acc=0.952, LR=0.00000391, global_step=44352
EPOCH  90/100: train_acc=0.999, valid_acc=0.955, LR=0.00000391, global_step=44856
EPOCH  91/100: train_acc=0.999, valid_acc=0.953, LR=0.00000195, global_step=45360
EPOCH  92/100: train_acc=0.999, valid_acc=0.955, LR=0.00000195, global_step=45864
EPOCH  93/100: train_acc=0.999, valid_acc=0.956, LR=0.00000195, global_step=46368
EPOCH  94/100: train_acc=0.999, valid_acc=0.954, LR=0.00000195, global_step=46872
EPOCH  95/100: train_acc=0.999, valid_acc=0.953, LR=0.00000195, global_step=47376
EPOCH  96/100: train_acc=0.999, valid_acc=0.956, LR=0.00000195, global_step=47880
EPOCH  97/100: train_acc=0.999, valid_acc=0.956, LR=0.00000195, global_step=48384
EPOCH  98/100: train_acc=0.999, valid_acc=0.952, LR=0.00000195, global_step=48888
EPOCH  99/100: train_acc=0.999, valid_acc=0.958, LR=0.00000195, global_step=49392
EPOCH 100/100: train_acc=0.999, valid_acc=0.957, LR=0.00000195, global_step=49896

Model saved

Best train accuracy=0.999 at epoch=82
Best valid accuracy=0.958 at epoch=99
